Atlanta Hawks,Atlanta,ATL,atlantahawks,US/Eastern,Southeast,East,1610612737
Boston Celtics,Boston,BOS,bostonceltics,US/Eastern,Atlantic,East,1610612738
Brooklyn Nets,Brooklyn,BKN,gonets,US/Eastern,Atlantic,East,1610612751
Charlotte Hornets,Charlotte,CHA,charlottehornets,US/Eastern,Southeast,East,1610612766
Chicago Bulls,Chicago,CHI,chicagobulls,America/Chicago,Central,East,1610612741
Cleveland Cavaliers,Cleveland,CLE,clevelandcavs,US/Eastern,Central,East,1610612739
Dallas Mavericks,Dallas,DAL,mavericks,US/Central,Southwest,West,1610612742
Denver Nuggets,Denver,DEN,denvernuggets,US/Mountain,Northwest,West,1610612743
Detroit Pistons,Detroit,DET,detroitpistons,US/Eastern,Central,East,1610612765
Golden State Warriors,Golden State,GSW,warriors,US/Pacific,Pacific,West,1610612744
Houston Rockets,Houston,HOU,rockets,US/Central,Southwest,West,1610612745
Indiana Pacers,Indiana,IND,pacers,America/Indiana/Indianapolis,Central,East,1610612754
Los Angeles Clippers,Clippers,LAC,laclippers,America/Los_Angeles,Pacific,West,1610612746
Los Angeles Lakers,Lakers,LAL,lakers,America/Los_Angeles,Pacific,West,1610612747
Memphis Grizzlies,Memphis,MEM,memphisgrizzlies,US/Central,Southwest,West,1610612763
Miami Heat,Miami,MIA,heat,US/Eastern,Southeast,East,1610612748
Milwaukee Bucks,Milwaukee,MIL,mkebucks,US/Central,Central,East,1610612749
Minnesota Timberwolves,Minnesota,MIN,timberwolves,US/Central,Northwest,West,1610612750
New Orleans Pelicans,New Orleans,NOP,nolapelicans,US/Central,Southwest,West,1610612740
New York Knicks,New York,NYK,nyknicks,America/New_York,Atlantic,East,1610612752
Oklahoma City Thunder,Oklahoma City,OKC,thunder,US/Central,Northwest,West,1610612760
Orlando Magic,Orlando,ORL,orlandomagic,US/Eastern,Southeast,East,1610612753
Philadelphia 76ers,Philadelphia,PHI,sixers,US/Eastern,Atlantic,East,1610612755
Phoenix Suns,Phoenix,PHX,suns,America/Phoenix,Pacific,West,1610612756
Portland Trail Blazers,Portland,POR,ripcity,US/Pacific,Northwest,West,1610612757
Sacramento Kings,Sacramento,SAC,kings,US/Pacific,Pacific,West,1610612758
San Antonio Spurs,San Antonio,SAS,nbaspurs,US/Central,Southwest,West,1610612759
Toronto Raptors,Toronto,TOR,torontoraptors,America/Toronto,Atlantic,East,1610612761
Utah Jazz,Utah,UTA,utahjazz,US/Mountain,Northwest,West,1610612762
Washington Wizards,Washington,WAS,washingtonwizards,US/Eastern,Southeast,East,1610612764